RQ_ID,Subquestion_ID,Subquestion,Parameter_ID,Parameter_Name,Response,,,,,,,,,,,,,,,,,,,,,,,,
RQ3,RQ3.1,What approaches are used to improve energy efficiency in microservice architectures?,RQ3.1.P2,Solution Category,"The high-level categories of solutions used to improve energy efficiency in microservice architectures as described in the GreenFog framework include workload management, autoscaling, and adaptive Quality of Service (QoS) management. These strategies are implemented through:
- Dynamic QoS management based on load shaping to accommodate renewable energy availability.
- Applying machine learning techniques for autoscaling of resources to maximize renewable energy utilization【54:0†source】【54:4†source】【54:9†source】.",,,,,,,,,,,,,,,,,,,,,,,,
RQ3,RQ3.1,What approaches are used to improve energy efficiency in microservice architectures?,RQ3.1.P3,Implementation Technologies,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ3,RQ3.2,What trade-offs exist between energy efficiency and other quality attributes in microservice architectures?,RQ3.2.P1,Quality Attribute,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ3,RQ3.2,What trade-offs exist between energy efficiency and other quality attributes in microservice architectures?,RQ3.2.P2,Trade-off Relationship,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ3,RQ3.2,What trade-offs exist between energy efficiency and other quality attributes in microservice architectures?,RQ3.2.P3,Trade-off Severity,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ3,RQ3.2,What trade-offs exist between energy efficiency and other quality attributes in microservice architectures?,RQ3.2.P4,Trade-off Strategy,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ3,RQ3.3,What challenges affect the adoption of energy-efficient architectural solutions in microservices?,RQ3.3.P1,Challenge Type,The document does not explicitly mention the challenges affecting the adoption of energy-efficient architectural solutions in microservices .,,,,,,,,,,,,,,,,,,,,,,,,
RQ3,RQ3.3,What challenges affect the adoption of energy-efficient architectural solutions in microservices?,RQ3.3.P2,Adoption Phase,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ3,RQ3.3,What challenges affect the adoption of energy-efficient architectural solutions in microservices?,RQ3.3.P3,Challenge Complexity,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
RQ3,RQ3.3,What challenges affect the adoption of energy-efficient architectural solutions in microservices?,RQ3.3.P4,Mitigation Approach,Not Found,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GreenFog: A Framework for Sustainable Fog Computing,Runtime,Runtime,runtime QoS adjustment and autoscaling,"containers; pods; nodes; gateway 
","pod energy use; node energy use; task processing energy 
",N/A,hardware server power (ePDU); pod-level profiling; task-level energy estimation,direct power measurement (ePDU); profiling; model-based estimation (regression/IP model),monitoring via ePDU power metering; profiling,"external power metering (ePDU); profiling with controlled workloads 
",energy meter (ePDU),external hardware meter attached to servers,hardware power consumption analysis,per server; per pod; per task,power consumption; absolute energy difference between renewable supply and consumption,Infrastructure,N/A,SLA compliance via QoS (rate) adjustments,autoscaling and QoS adjustment,load shaping; autoscaling; scheduling,Kubernetes; Docker; K3s,performance/QoS,balances,"moderate � QoS reductions are applied to match renewable energy availability, affecting performance but kept within SLA limits",adaptive QoS adjustment and autoscaling,technical � renewable energy is intermittent making control difficult; measurement � accurate profiling and exact energy data are required for models,Operation,N/A,"adaptive optimization via IP, regression, and MAB models"
